id,genre,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2Vc6NJ9PW9gD9q343XFRKx,Dark Trap,Mercury: Retrograde,0.831,0.814,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,124539
7pgJBLVz5VmnL7uGHmRj6p,Dark Trap,Pathology,0.719,0.493,8,-7.23,1,0.0794,0.401,0,0.118,0.124,115.08,224427
0vSWgAlfpye0WCGeNmuNhy,Dark Trap,Symbiote,0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14E-06,0.372,0.0391,218.05,98821
0VSXnJqQkwuH2ei1nOQ1nu,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote),0.476,0.781,0,-4.71,1,0.103,0.0237,0,0.114,0.175,186.948,123661
4jCeguq9rMTlbMmPHuO7S3,Dark Trap,Venom,0.798,0.624,2,-7.668,1,0.293,0.217,0,0.166,0.591,147.988,123298
6fsypiJHyWmeINsOLC1cos,Dark Trap,Gatteka,0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915,112511
0XfQbq7DaMOmVXgQ71eA6E,Dark Trap,kamikaze (+ pulse),0.718,0.668,8,-4.162,1,0.137,0.0254,0.0078,0.124,0.038,130.826,77584
0LLeuNBWPOg3XA73yab3PT,Dark Trap,T.R.U. (Totally Rotten Underground),0.694,0.711,8,-5.525,1,0.221,0.0397,0,0.112,0.283,138.049,127524
37gqBnUAZe8BY8WR56kDNk,Dark Trap,I Put My Dick in Your Mental,0.774,0.751,1,-2.445,1,0.198,0.0614,0,0.0728,0.189,219.96,140326
2ggqfj97qyiORmXoVFzP5j,Dark Trap,Andromeda,0.893,0.907,11,-10.406,1,0.367,0.152,0.0311,0.558,0.302,199.942,121979
7EL7ifncK2PWFYThJjzR25,Dark Trap,BRAINFOOD,0.864,0.365,8,-10.219,1,0.0655,0.187,0,0.116,0.0478,189.938,101172
0QiF3l617bIKVrkBqgdMHE,Dark Trap,Troll Under the Bridge,0.736,0.932,1,-3.726,1,0.271,0.146,0.0025,0.182,0.18,124.514,115775
5o7ZDvfOry1MNhNLBOJulo,Dark Trap,1000 Rounds,0.825,0.761,8,-5.389,1,0.104,0.0111,0.00359,0.334,0.161,149.97,163371
1umsRbM7L4ju7rn9aU8Ju6,Dark Trap,Sacrifice,0.767,0.576,10,-9.683,0,0.256,0.145,2.61E-06,0.0968,0.187,139.99,96062
4SKqOHKYU5pgHr5UiVKiQN,Dark Trap,Backpack,0.765,0.726,5,-5.58,1,0.191,0.0077,0,0.619,0.27,128.014,135079
4Ag89Y7qSUrpxcgRtSzSam,Dark Trap,D(R)Own,0.617,0.541,6,-4.113,1,0.78,0.125,0,0.369,0.43,159.996,107999
28xkYPSP0P5xu5vT6MQfCy,Dark Trap,"Okay,ButThisIsTheLastTime",0.755,0.298,1,-15.032,1,0.0915,0.154,0.329,0.101,0.0372,199.958,123054
3uE1swbcRp5BrO64UNy6Ex,Dark Trap,TakingOutTheTrash,0.814,0.575,11,-9.635,1,0.0635,0.172,0.000291,0.109,0.288,120.004,192833
3KJrwOuqiEwHq6QTreZT61,Dark Trap,Io sono qui,0.812,0.813,10,-5.583,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,180880
4irYeuAi87yyGHcI4h9s0x,Dark Trap,Paris,0.849,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,212.15,111020
4QhUXx4ON40TIBrZIlnIke,Dark Trap,Murder,0.602,0.578,0,-5.61,1,0.0283,0.0343,0,0.164,0.156,114.956,186261
09320vyX4qHd4GjHIpy5w0,Dark Trap,High 'N Mighty,0.876,0.768,7,-6.606,1,0.201,0.112,1.21E-05,0.283,0.72,111.958,124676
2SZLtfY7dz7NLSxxnvDDis,Dark Trap,Euronymous,0.777,0.711,0,-3.902,1,0.137,0.312,0,0.205,0.293,139.973,153685
0KRKqIJPX6LT9v1ZQGbfn7,Dark Trap,Hades,0.829,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,127128
0jsbEBnXWgHLkvjV49vYVG,Dark Trap,Nails,0.783,0.929,11,0.551,0,0.0893,0.2,0.00414,0.689,0.152,118.03,134447
0wxwXyrJYHyGUKlBaCIhgp,Dark Trap,Squeeze,0.787,0.727,1,-7.194,1,0.265,0.000997,0.0017,0.376,0.21,141.52,140038
0vUhboOWxdj97denl4T91p,Dark Trap,No Teeth,0.705,0.648,4,-10.467,0,0.141,0.00476,0.000595,0.373,0.398,130.037,155350
6xEnbXM1us9fDJy2LC0lru,Dark Trap,Bang Ya Fucking Head,0.69,0.76,1,-5.431,1,0.0895,0.0525,0,0.134,0.0797,125.013,154929
4ZOxwKHoHlhIZPzucOUVoY,Dark Trap,BLUE JUICE,0.799,0.966,0,-4.586,1,0.366,0.089,0,0.658,0.864,139.967,137221
2AoJ1NSLrqfppo6oT5Bqc8,Dark Trap,Loch Ness,0.936,0.476,1,-11.439,1,0.403,0.0139,0,0.402,0.363,121.979,175543
